index,release_date,Runtime,Movie,Rating,Year,description
38,2004,127,G.O.R.A.,8,2004,   A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
39,2001,113,Donnie Darko,8,2001,"   After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
40,1999,86,Der Gigant aus dem All,8,1999,   A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
41,1995,129,12 Monkeys,8,1995,"   In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
42,1995,83,Ghost in the Shell,8,1995,   A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
43,1988,124,Akira,8,1988,   A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.
44,1986,125,Das Schloss im Himmel,8,1986,   A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
45,1984,107,Terminator,8,1984,"   A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
46,1968,112,Planet der Affen,8,1968,"   An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
47,2018,101,Isle of Dogs - Ataris Reise,7.9,2018,"   Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
48,2017,130,Thor: Tag der Entscheidung,7.9,2017,"   Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
49,2016,116,Arrival,7.9,2016,   A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
50,2015,138,Star Wars - Episode VII: Das Erwachen der Macht,7.9,2015,"   As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
51,2014,132,X-Men: Zukunft ist Vergangenheit,8.8,2014,   The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
52,2014,113,Edge of Tomorrow - Live. Die. Repeat,8.7,2014,"   A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
53,2009,97,Moon,8.7,2009,"   Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
54,2009,112,District 9,8.6,2009,   Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
55,2009,127,Star Trek,8.6,2009,   The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
56,2007,87,The Man from Earth,8.5,2007,   An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
57,2008,126,Iron Man,8.5,2008,"   After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
58,2001,115,Cowboy Bebop - Der Film,8.5,2001,"   A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit."
59,2006,109,Children of Men,8.4,2006,"   In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
60,1985,132,Brazil,8.4,1985,   A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
61,1933,100,King Kong und die weiße Frau,8.4,1933,   A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
62,2016,133,Star Wars: Rogue One,8.4,2016,   The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.
63,2016,147,The First Avenger: Civil War,8.4,2016,   Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
64,2014,102,Baymax - Riesiges Robowabohu,8.3,2014,"   A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
65,2013,123,Alles eine Frage der Zeit,8.3,2013,"   At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
66,2009,162,Avatar - Aufbruch nach Pandora,8.3,2009,   A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
67,2009,141,Mr. Nobody,8.3,2009,"   A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
68,2005,119,Serenity: Flucht in neue Welten,8.3,2005,   The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.
69,1997,106,Gattaca,8.3,1997,   A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
70,1989,108,Zurück in die Zukunft II,8.3,1989,"   After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
71,1987,107,Predator,8.2,1987,   A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
72,1984,105,Ghostbusters - Die Geisterjäger,8.2,1984,   Three former parapsychology professors set up shop as a unique ghost removal service.
73,1982,115,E.T. - Der Außerirdische,8.1,1982,   A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.
74,1973,72,Der phantastische Planet,8.1,1973,"   On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
75,1935,75,Frankensteins Braut,8.1,1935,"ary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
76,1931,70,Frankenstein,8.1,1931,   Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.
77,2018,119,Deadpool 2,8.1,2018,"   Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
78,2014,136,The Return of the First Avenger,8.1,2014,"   As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
79,2013,91,Gravity,8.1,2013,   Two astronauts work together to survive after an accident leaves them stranded in space.
80,2013,132,Star Trek Into Darkness,8.1,2013,"   After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
81,2011,131,X-Men: Erste Entscheidung,8.1,2011,"   In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
82,2006,90,Paprika,8,2006,"   When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it."
83,2006,98,"Das Mädchen, das durch die Zeit sprang",8,2006,"   A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
84,2014,108,Ex Machina,8,2014,   A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
85,2000,103,Vampire Hunter D: Bloodlust,8,2000,"   When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back."
86,1997,119,Virtual Nightmare - Open Your Eyes,8,1997,"   A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
87,1997,126,Das fünfte Element,8,1997,"   In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
88,1982,113,Star Trek II: Der Zorn des Khan,8,1982,"   With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
89,1956,80,Die Invasion der Körperfresser,8,1956,   A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
90,1951,85,"Der Tag, an dem die Erde stillstand",8,1951,   An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.
91,1933,71,Der Unsichtbare,8,1933,"   A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
92,2017,136,Guardians of the Galaxy Vol. 2,8,2017,"   The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
93,2018,118,Die Unglaublichen 2,8,2018,   The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
94,2014,102,Who Am I: Kein System ist sicher,8,2014,"   Benjamin, a young German computer whiz, is invited to join a subversive hacker group that wants to be noticed on the world's stage."
95,2014,130,Planet der Affen: Revolution,8,2014,   A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.
96,2011,105,Planet der Affen: Prevolution,8,2011,   A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
97,2009,88,Zombieland,7.9,2009,"   A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
98,2009,162,Watchmen: Die Wächter,7.9,2009,"   In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
99,2004,113,Butterfly Effect,7.9,2004,"   Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
100,2002,113,28 Tage später,7.9,2002,"   Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
